Vehicle ID,Coordenada X,Coordenada Y,Velocidade,Server Start,Server End
vehicle_21,5621,7455,0,7,15
vehicle_22,6968,8053,39,13,2
vehicle_23,9567,9255,41,27,14
vehicle_24,6805,3633,73,16,8
vehicle_25,7077,7200,0,14,7
vehicle_31,4980,7632,26,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9822,9060,51,27,6
vehicle_34,7108,3459,68,16,19
vehicle_41,5622,7461,0,7,3
vehicle_42,6726,8405,0,13,18
vehicle_43,9579,9260,51,27,23
vehicle_44,6968,3425,45,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6874,7953,33,13,15
vehicle_13,9534,9229,0,27,22
vehicle_14,6857,3569,39,16,3
vehicle_15,6980,7186,6,14,19
vehicle_21,5621,7455,0,7,15
vehicle_22,6960,8046,37,13,2
vehicle_23,9558,9248,42,27,14
vehicle_24,6790,3649,76,16,8
vehicle_25,7075,7200,5,14,7
vehicle_31,4977,7632,11,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9827,9046,48,27,6
vehicle_34,7100,3442,66,16,19
vehicle_35,7093,7217,0,14,30
vehicle_41,5622,7461,0,7,3
vehicle_42,6726,8405,0,13,18
vehicle_43,9569,9252,47,27,23
vehicle_44,6974,3435,46,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6879,7943,39,13,15
vehicle_13,9534,9229,0,27,22
vehicle_14,6865,3560,46,16,3
vehicle_15,6977,7188,15,14,19
vehicle_21,5621,7455,0,7,15
vehicle_22,6952,8039,38,13,2
vehicle_23,9550,9241,39,27,14
vehicle_24,6775,3664,78,16,8
vehicle_25,7072,7199,13,14,7
vehicle_31,4977,7632,0,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9842,9041,42,27,6
vehicle_34,7090,3427,63,16,19
vehicle_35,7092,7218,7,14,30
vehicle_41,5622,7461,0,7,3
vehicle_42,6726,8405,0,13,18
vehicle_43,9558,9244,48,27,23
vehicle_44,6964,3442,44,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6888,7933,47,13,15
vehicle_13,9534,9229,0,27,22
vehicle_14,6875,3549,51,16,3
vehicle_15,6971,7192,24,14,19
vehicle_21,5621,7455,0,7,15
vehicle_22,6944,8033,37,13,2
vehicle_23,9544,9237,26,27,14
vehicle_24,6761,3679,75,16,8
vehicle_25,7067,7198,18,14,7
vehicle_31,4977,7632,0,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9852,9044,26,27,6
vehicle_34,7079,3420,52,16,19
vehicle_35,7091,7223,17,14,30
vehicle_41,5622,7461,0,7,3
vehicle_42,6726,8405,0,13,18
vehicle_43,9548,9236,46,27,23
